NAME                                              STATUS    ISIN CODE           CODE      TRADING COUNTER NAME
3CNERGY LIMITED                                             SG0502000029        502       3Cnergy
KOREADEVBK S$200M2.05%N180723                               XS1263888023        33CB      KorDeBkn2.05%180723S
KOREADEVBK SEK400M1.83%N270810                              XS1662525630        7H8B      KoreaDevBk n1.83%270810S
KOREADEVBK US$15M F230526                                   XS2178949215        EEWB      KorDevBk f230526 S
KOREADEVBK US$1B 3%N260113                                  US500630CJ53        38WB      KorDeBkn3%260113S
KOREADEVBK US$1B1.25%N250603                                XS2181972568        QPVB      KorDevBkn1.25%250603S
KOREADEVBK US$1B2%N250224                                   US500630DQ87        Y6AB      KorDevBkn2%250224S
KOREADEVBK US$20M 3.8%N231218                               XS1005346579        2R0B      KorDeBkn3.8%231218S
KOREADEVBK US$20M F230212                                   XS1770932975        8IAB      KorDevBk f230212 S
KOREADEVBK US$20M F230514                                   XS1820821558        8UNB      KorDevBk f230514 S
KOREADEVBK US$20M3.615%N240430                              XS1062544512        3M0B      KorDeBkn3.615%240430S
KOREADEVBK US$20M3.66%N231126                               XS0997295463        2R7B      KorDevBkn3.66%231126S
KOREADEVBK US$25M F230623                                   XS2193733339        OQXB      KorDevBk f230623S
KOREADEVBK US$2B8%N140123                                   US500630BQ06        3UNB      KorDeBk n8%140123S
KOREADEVBK US$300M F221030                                  XS1706085773        83JB      KorDevBk f221030 S
KOREADEVBK US$300M F240311                                  US500630DK18        VUKB      KorDeBk f240311 S
KOREADEVBK US$300M2%N310401                                 XS2327416603        GYDB      KorDevBkn2%310401S
KOREADEVBK US$30M 3.68%N231126                              XS0997294813        2R5B      KorDeBkn3.68%231126S
KOREADEVBK US$30M 3.79%N231113                              XS0991751768        2L0B      KorDeBkn3.79%231113S
KOREADEVBK US$30M 4%N231101                                 XS0986073749        2I4B      KorDeBkn4%231101S
KOREADEVBK US$30M3.605%N240429                              XS1062029662        3M1B      KorDeBkn3.605%240429S
KOREADEVBK US$400M0.4%N240309                               US500630DJ45        ZQTB      KorDevBkn0.4%240309S
KOREADEVBK US$45M F230811                                   XS2214896917        NYGB      KorDevBk f230811 S
KOREADEVBK US$500M 0.5%N231027                              US500630DD74        LXTB      KorDevBkn0.5%231027S
KOREADEVBK US$500M 0.8%N260427                              US500630DE57        9LHB      KorDevBkn0.8%260427S
KOREADEVBK US$500M 2.5%N210113                              US500630CH97        38XB      KorDeBkn2.5%210113S
KOREADEVBK US$500M F200919                                  US500630CR79        7Y1B      KorDevBk f200919 S
KOREADEVBK US$500M F210312                                  US500630CT36        8LYB      KorDevBk f210312 S
KOREADEVBK US$500M F221001                                  US500630CX48        YKSB      KorDevBk f221001 S
KOREADEVBK US$500M F230416                                  XS2155707628        W7LB      KorDeBk f230416 S
KOREADEVBK US$500M1%N260909                                 US500630DL90        UEMB      KorDevBkn1%260909S
KOREADEVBK US$500M2.25%N170807                              US50065TAD54        2GPB      KorDevBk2.25%170807S
KOREADEVBK US$500M2.25%N200518                              US500630CE66        29MB      KorDeBkn2.25%200518S
KOREADEVBK US$500M2.25%N270224                              US500630DR60        FIRB      KorDevBkn2.25%270224S
KOREADEVBK US$50M 3.7%N231106                               XS0988743562        2J3B      KorDeBkn3.7%231106S
KOREADEVBK US$50M 3.8%N231212                               XS1004019086        2Q7B      KorDeBkn3.8%231212S
KOREADEVBK US$50M F230527                                   XS2180545795        1R1B      KorDevBk f230527 S
KOREADEVBK US$50M0.18%N220811                               XS2374233216        HYYB      KorDevBkn0.18%220811S
KOREADEVBK US$50M3.25%N241114                               XS1138308835        20YB      KorDeBkn3.25%241114S
KOREADEVBK US$50M3.376%N250709                              XS1258415899        32LB      KorDeBkn3.376%250709S
KOREADEVBK US$50M3.62%N240429                               XS1062029746        3M8B      KorDeBkn3.62%240429S
KOREADEVBK US$58M F230518                                   XS2176564198        VBPB      KorDevBk f230518 S
KOREADEVBK US$750M 3%N190317                                US500630CA45        2A5B      KorDeBkn3%190317S
KOREADEVBK US$750M F230218                                  US500630CZ95        HXCB      KorDeBk f230218 S
KOREADEVBK US$750M1.75%N250218                              US500630DB19        OWKB      KorDeBkn1.75%250218S
KOREADEVBK US$750M2.5%N200311                               US500630CD83        15LB      KorDeBkn2.5%200311S
KOREADEVBK US$750M3%N220914                                 US500630BX56        2HWB      KorDeBk n3%220914S
KOREADEVBK USD200M1.75%N310927                              XS2389120598        UOJB      KorDevBkn1.75%310927S
KOREADEVBK USD200M2.25%N320126                              XS2436141399        TXVB      KorDevBkn2.25%320126S
KOREADEVBK USD20M1.448%N251202                              XS2417098501        LWLB      KorDevBkn1.448%251202S
KOREADEVBK USD20M3.81%N231218                               XS1005347205        2R9B      KorDevBkn3.81%231218S
KOREADEVBK USD20MZ511018                                    XS2399145783        QHVB      KoreaDevBk z511018S
KOREADEVBK USD20MZ511119                                    XS2411131753        V3RB      KoreaDevBk z511119S
KOREADEVBK USD300M F220706                                  US500630CQ96        76IB      KoreaDevBk f220706S
KOREADEVBK USD30M3.7%N240411                                XS1055854381        3G8B      KorDevBkn3.7%240411S
KOREADEVBK USD30M3.72%N240410                               XS1055479601        3G9B      KorDevBkn3.72%240410S
KOREADEVBK USD500M F200227                                  US500630CM82        6D4B      KoreaDevBk f200227S
KOREADEVBK USD500M F220227                                  US500630CN65        6D5B      KoreaDevBk f220227S
KOREADEVBK USD50M F230124                                   XS2107380961        VJFB      KorDevBk f230124S
KOREADEVBK USD50M3.7%N240411                                XS1056202846        3H4B      KorDeBkn3.7%240411S
KOREADEVBK USD750M3.75%N240122                              US500630CC01        2U4B      KorDevBkn3.75%240122S
KOREADEVBKA$74M1.46%250224S780                              XS2124038147        EWGB      KorDeBkS780n1.46%250224S
KOREADEVBKA$74M1.46%250224S781                              XS2124038220        TBBB      KorDeBkS781n1.46%250224S
KOREADEVBKAUD100M3.966%N261130                              XS1528917682        65QB      KorDevBk3.966%n261130S
KOREADEVBKAUD40M F310928                                    XS2389385209        PMHB      KorDeBk f310928 S
KOREADEVBKAUD56M2.565%N360401                               XS2326460479        948B      KorDevBkn2.565%360401S
KOREADEVBKCNY250M2.65%N230515                               XS2174448535        NQYB      KoreaDevBkn2.65%230515S
KOREADEVBKGBP25M2.19%N320406                                XS2466087173        TRLB      KorDevBk n2.19%320406S
KOREADEVBKGBP30M1.23%N221122S6                              XS2082901344        1YCB      KorDevBkS6 n1.23%221122S
KOREADEVBKGBP35M1.23%N221122S4                              XS2082901427        VSWB      KorDevBkS4 n1.23%221122S
KOREADEVBKGBP35M1.23%N221122S5                              XS2083005392        ZPUB      KorDevBkS5 n1.23%221122S
KOREADEVBKGBP36M1.279%N221126                               XS2083951579        OAQB      KorDevBk n1.279%221126S
KOREADEVBKHKD169M3.6%N290512                                XS2478301380        52GB      KorDevBk n3.6%290512S
KOREADEVBKHKD390M3.45%N290510                               XS2476745430        9TVB      KorDevBk n3.45%290510S
KOREADEVBKSEK200M2.01%N280227                               XS1783945923        8KMB      KorDevBkn2.01%280227S
KOREADEVBKSEK400M1.815%N270816                              XS1664200752        7I8B      KorDevBkn1.815%270816S
KOREADEVBKSEK410M1.74%N271130                               XS1726323865        8DLB      KorDevBkn1.74%271130S
KOREADEVBKUS$100M0.18%N220803                               XS2369350785        RLQB      KorDevBkn0.18%220803S
KOREADEVBKUS$100M1.015%N251204                              XS2349739321        ROEB      KorDevBkn1.015%251204S
KOREADEVBKUS$100M1.035%N260618                              XS2355557781        QAEB      KorDevBkn1.035%260618S
KOREADEVBKUS$100M1.145%N260604                              XS2349739594        R40B      KorDevBkn1.145%260604S
KOREADEVBKUS$300M2%N311025                                  US500630DP05        HDXB      KorDevBkn2%311025S
KOREADEVBKUS$300M3.125%N250607                              XS2487342300        SPDB      KorDevBkn3.125%250607S
KOREADEVBKUS$500M1.375%N270425                              US500630DN56        EVKB      KorDevBkn1.375%270425S
KOREADEVBKUS$500M1.5%N180122                                US500630BY30        2NZB      KorDeBkn1.5%180122S
KOREADEVBKUS$500M2.125%N241001                              US500630CY21        OORB      KorDeBk n2.125%241001S
KOREADEVBKUS$500M2.875%N180822                              US50065TAE38        2YXB      KorDevBk2.875%n180822S
KOREADEVBKUS$50M0.61%N240602                                XS2348325577        8B2B      KorDevBkn0.61%240602S
KOREADEVBKUS$50M1.35%N230527                                XS2179898924        FTOB      KorDevBkn1.35%230527S
KOREADEVBKUS$700M0.75%N250125                               US500630DM73        NYMB      KorDevBkn0.75%250125S
KOREADEVBKUS$750M3.375%N250916                              US500630CG15        35DB      KorDeBkn3.375%250916S
KOREADEVBKUS$750M3.5%N170822                                US500630BW73        7YFB      KorDeBk3.5%170822S
KOREADEVBKUS$750M4.625%N211116                              US50065TAC71        7UYB      KorDevBk4.625%211116S
KOREADEVINR7.248B5.135%N220407                              XS2324772024        FVNB      KorDevBkn5.135%220407S
KOREAELPWRUS$300M5.125%340423A                              US500631AS53        6PEB      KorElPn5.125%340423A
KOREAELPWRUS$300M5.125%340423R                              USY48406BA27        6PFB      KorElPn5.125%340423R
KOREAEWPWR US$500M2.5%N170716A                              US5006EPAC53        2FAB      KoreaEWPwr2.5%170716A
KOREAEWPWR US$500M2.5%N170716R                              USY4836TAG68        2FBB      KoreaEWPwr2.5%170716R
KOREAEWPWRUS$500M2.5%N200602A                               US5006EPAF84        21UB      KoreaEWPwr n2.5%200602A
KOREAEWPWRUS$500M2.5%N200602R                               USY4836TBB62        21TB      KoreaEWPwr n2.5%200602R
KOREAEWPWRUS$500M2.625%181127A                              US5006EPAD37        2O0B      KoreaEWPwr2.625%181127A
KOREAEWPWRUS$500M2.625%181127R                              USY4836TAS07        2N9B      KoreaEWPwr2.625%181127R
KOREAEWPWUS$500M1.75%N250506A                               US5006EPAK79        LTAB      KoreaEWPw n1.75%250506A
KOREAEWPWUS$500M1.75%N250506R                               USY4836TBT70        9QYB      KoreaEWPw n1.75%250506R
KOREAEWPWUS$500M2.625%N220619A                              US5006EPAG67        75BB      KoreaEWPw n2.625%220619A
KOREAEWPWUS$500M2.625%N220619R                              USY4836TBF76        75CB      KoreaEWPw n2.625%220619R
KOREAEWPWUS$500M3.6%N250506A                                US5006EPAL52        QFFB      KoreaEWPw n3.6%250506A
KOREAEWPWUS$500M3.6%N250506R                                USY4836TCE92        VQGB      KoreaEWPw n3.6%250506R
